"id"	"brand"	"title"	"price"	"score"	"voteCnt"	"url"	"pid"	"brand_id"
"70"	"小米"	"小米Max 2（全网通） "	"939"	"6.2"	"119"	"http://detail.zol.com.cn/cell_phone/index1165765.shtml"	"1165765"	"3"
"71"	"小米"	"小米红米6（3GB RAM/全网通） "	"769"	"5.4"	"11"	"http://detail.zol.com.cn/cell_phone/index1215069.shtml"	"1215069"	"3"
"72"	"小米"	"小米红米5 Plus（3GB RAM/全网通） "	"800"	"5.8"	"75"	"http://detail.zol.com.cn/cell_phone/index1183689.shtml"	"1183689"	"3"
"73"	"小米"	"小米红米Note 5（4GB RAM/全网通） "	"1299"	"5.5"	"98"	"http://detail.zol.com.cn/cell_phone/index1209455.shtml"	"1209455"	"3"
"74"	"小米"	"小米红米Note 4X（3GB RAM/全网通） "	"999"	"5.7"	"285"	"http://detail.zol.com.cn/cell_phone/index1163122.shtml"	"1163122"	"3"
"75"	"小米"	"小米Note 3（6GB RAM/全网通） "	"1849"	"5.8"	"92"	"http://detail.zol.com.cn/cell_phone/index1164780.shtml"	"1164780"	"3"
"76"	"小米"	"小米5X（全网通） "	"1129"	"5.8"	"98"	"http://detail.zol.com.cn/cell_phone/index1175015.shtml"	"1175015"	"3"
"77"	"小米"	"小米红米6A（2GB RAM/全网通） "	"549"	"6.1"	"3"	"http://detail.zol.com.cn/cell_phone/index1216196.shtml"	"1216196"	"3"
"78"	"小米"	"小米6X（6GB RAM/全网通） "	"1709"	"5.3"	"106"	"http://detail.zol.com.cn/cell_phone/index1212271.shtml"	"1212271"	"3"
"79"	"小米"	"小米MIX（全网通） "	"2900"	"5.3"	"173"	"http://detail.zol.com.cn/cell_phone/index1158428.shtml"	"1158428"	"3"
"80"	"苹果"	"苹果iPhone XS（全网通） "	"8699"	"5.5"	"51"	"http://detail.zol.com.cn/cell_phone/index1229519.shtml"	"1229519"	"2"
"81"	"苹果"	"苹果iPhone X（全网通） "	"6898"	"8"	"193"	"http://detail.zol.com.cn/cell_phone/index1182639.shtml"	"1182639"	"2"
"82"	"苹果"	"苹果iPhone XR（全网通） "	"6499"	"4.6"	"35"	"http://detail.zol.com.cn/cell_phone/index1205394.shtml"	"1205394"	"2"
"83"	"苹果"	"苹果iPhone 8 Plus（全网通） "	"5468"	"8.5"	"84"	"http://detail.zol.com.cn/cell_phone/index1182632.shtml"	"1182632"	"2"
"84"	"苹果"	"苹果iPhone XS Max（全网通） "	"9599"	"5.8"	"30"	"http://detail.zol.com.cn/cell_phone/index1229520.shtml"	"1229520"	"2"
"85"	"苹果"	"苹果iPhone 8（全网通） "	"4528"	"6.8"	"254"	"http://detail.zol.com.cn/cell_phone/index394162.shtml"	"394162"	"2"
